label,origin_pred,pred_eps=4.0
49,68,68
33,33,59
72,55,55
51,51,11
71,71,71
92,6,6
15,12,12
14,75,3
23,71,71
0,92,92
71,12,59
75,75,75
81,81,90
69,69,69
40,40,40
43,43,42
92,92,92
97,97,66
70,70,70
53,53,92
70,70,70
49,49,49
75,75,29
29,96,96
21,21,21
16,16,16
39,39,39
8,8,8
8,5,5
70,98,98
20,20,20
61,10,10
41,41,41
93,73,73
56,56,56
73,27,27
58,41,41
11,11,35
25,25,25
37,37,17
63,63,3
24,24,9
49,49,39
73,30,30
56,56,56
22,22,22
41,41,58
58,58,58
75,75,21
17,17,29
4,4,25
6,6,29
9,9,9
57,57,57
2,36,36
32,32,35
71,71,71
52,52,96
42,42,63
69,69,69
77,77,77
27,27,67
15,19,19
65,55,4
7,62,62
35,98,98
43,43,64
82,62,62
63,63,63
92,92,92
66,8,8
90,89,89
67,65,65
91,91,91
32,67,76
32,32,11
82,82,82
10,10,16
77,77,77
22,61,61
71,71,71
78,78,25
54,54,54
6,6,7
29,29,54
89,89,13
78,78,99
33,42,42
11,46,46
67,73,73
22,22,10
18,18,18
27,27,41
21,21,11
13,13,81
21,55,55
50,50,74
75,75,79
37,37,68
35,46,15
26,79,79
83,57,57
47,47,52
95,86,86
43,43,4
69,69,69
76,76,76
17,17,12
57,57,83
59,59,59
25,25,5
20,20,20
27,27,27
0,0,0
9,9,57
71,71,71
8,8,41
43,43,43
57,57,53
56,56,56
85,85,90
10,84,84
19,19,38
92,92,62
33,33,96
20,20,94
21,21,3
50,80,27
70,70,92
46,35,35
11,11,16
16,16,16
1,32,32
74,74,50
33,3,3
91,91,91
60,60,60
64,97,97
52,52,96
23,23,23
4,4,50
11,11,11
52,52,47
37,18,18
24,7,7
95,95,30
25,25,89
39,39,39
51,51,50
58,58,58
58,58,41
77,77,78
18,30,30
59,49,60
45,45,10
66,66,21
58,58,85
20,20,20
24,7,7
4,42,42
36,36,36
8,8,96
87,87,72
10,10,51
30,30,38
47,47,96
54,54,54
99,99,51
51,51,64
83,83,10
9,86,86
37,88,45
4,33,56
83,16,16
95,95,95
83,83,45
32,95,95
73,30,30
18,18,34
40,40,40
39,80,80
64,19,19
22,22,22
80,65,65
28,10,10
28,28,28
40,28,33
95,95,95
98,98,46
83,83,70
12,12,12
24,7,7
45,45,82
13,13,13
94,94,94
24,24,10
58,90,90
63,42,42
7,7,7
87,87,81
6,77,77
78,78,61
68,68,17
60,60,60
6,6,6
23,23,23
44,44,40
31,31,19
80,80,43
93,66,66
73,72,72
98,11,11
49,49,17
90,66,66
97,97,97
59,47,47
2,53,53
67,73,73
16,16,83
81,81,37
94,94,94
27,73,73
76,60,60
77,77,40
12,12,68
18,55,55
0,0,0
76,39,39
79,79,78
71,71,71
89,89,89
57,57,57
47,59,59
24,24,24
65,65,36
0,70,70
32,32,80
36,36,43
82,82,82
31,31,46
23,23,23
24,24,24
34,34,64
21,86,86
11,35,35
53,53,53
80,80,38
44,44,26
4,55,44
39,39,61
91,91,91
16,16,16
36,64,64
68,68,68
50,50,57
97,38,38
58,79,79
31,75,75
6,6,46
42,42,29
80,80,38
76,76,76
89,58,58
55,27,27
19,19,48
91,91,73
70,47,47
1,1,51
6,44,44
62,92,92
99,99,99
51,51,55
96,96,59
83,0,0
42,42,42
18,91,73
67,67,72
66,10,10
40,40,40
62,62,62
78,78,44
84,84,84
28,28,40
89,89,58
30,30,73
66,66,43
18,18,6
38,19,19
42,42,96
92,92,19
27,27,91
11,38,38
