label,origin_pred,pred_eps=8.0,pred_eps=4.0
49,68,68,68
33,33,96,9
72,55,55,55
51,51,33,91
71,71,96,71
92,6,6,45
15,27,27,27
14,74,74,74
23,71,71,23
0,0,93,83
71,12,12,12
75,75,77,95
81,81,90,81
69,69,23,69
40,40,44,40
43,43,96,38
92,92,62,92
97,97,6,64
70,70,92,70
53,53,51,53
70,70,62,70
49,49,39,95
75,75,45,45
29,90,90,90
21,21,46,21
16,16,10,16
39,39,25,39
8,8,84,84
8,16,16,16
70,98,98,98
20,20,5,20
61,22,22,22
41,41,24,41
93,73,73,73
56,56,96,96
73,44,44,64
58,58,45,58
11,35,35,35
25,25,10,25
37,37,81,81
63,63,96,4
24,24,18,18
49,95,95,95
73,30,30,30
56,56,59,56
22,22,61,22
41,41,48,48
58,58,89,58
75,75,51,51
17,89,89,89
4,4,6,4
6,6,45,45
9,9,51,16
57,57,78,57
2,2,63,63
32,32,35,2
71,71,73,71
52,52,47,52
42,42,63,97
69,69,93,69
77,99,99,99
27,27,96,32
15,19,19,19
65,44,44,44
7,45,45,45
35,98,98,98
43,43,45,97
82,82,62,70
63,63,93,63
92,92,54,57
66,66,8,8
90,89,89,89
67,67,63,36
91,91,1,1
32,67,67,67
32,32,62,32
82,82,92,82
10,10,16,16
77,77,18,77
22,61,61,61
71,71,23,71
78,78,93,78
54,54,6,54
6,6,24,7
29,29,44,29
89,89,13,13
78,99,99,99
33,33,59,63
11,11,35,35
67,67,23,73
22,22,61,61
18,18,80,18
27,27,44,4
21,21,51,98
13,13,81,81
21,21,45,6
50,50,93,79
75,14,14,14
37,37,33,17
35,5,5,5
26,26,33,79
83,57,57,1
47,47,33,96
95,86,86,86
43,43,33,43
69,69,23,69
76,76,18,76
17,17,12,12
57,57,67,67
59,59,72,72
25,25,39,25
20,20,25,25
27,27,93,93
0,83,83,83
9,9,65,57
71,71,24,60
8,48,48,48
43,43,64,38
57,57,77,10
56,56,79,56
85,85,90,41
10,11,11,11
19,19,38,38
92,92,70,70
33,33,96,33
20,20,33,5
21,3,3,3
50,88,88,88
70,70,51,70
46,35,35,35
11,86,86,86
16,16,66,16
1,1,93,93
74,74,45,74
33,34,34,34
91,91,67,67
60,60,74,60
64,64,15,35
52,52,59,52
23,23,33,23
4,4,63,63
11,11,2,2
52,52,59,59
37,33,33,33
24,24,59,93
95,95,73,95
25,89,89,89
39,39,78,78
51,51,91,91
58,58,3,13
58,58,48,41
77,77,88,16
18,97,97,97
59,60,60,60
45,45,18,18
66,66,78,65
58,58,13,13
20,20,5,5
24,79,79,79
4,74,74,74
36,36,93,36
8,8,12,85
87,40,40,73
10,10,84,84
30,30,63,66
47,96,96,96
54,54,62,54
99,99,63,44
51,51,78,78
83,83,45,83
9,9,74,21
37,45,45,45
4,27,27,27
83,16,16,16
95,95,69,95
83,83,45,98
32,7,7,7
73,73,23,95
18,18,33,18
40,40,63,40
39,39,33,39
64,55,55,55
22,22,48,22
80,80,65,65
28,16,16,16
28,28,35,35
40,94,94,33
95,95,72,30
98,98,47,45
83,83,70,83
12,12,81,12
24,7,7,7
45,83,83,83
13,13,90,13
94,94,28,94
24,24,10,24
58,58,90,89
63,63,78,36
7,7,18,18
87,87,33,94
6,6,50,6
78,78,93,78
68,68,96,68
60,60,39,60
6,6,79,79
23,23,45,71
44,72,72,77
31,31,33,31
80,80,77,77
93,93,18,66
73,44,44,44
98,11,11,11
49,49,34,33
90,90,99,89
97,97,80,80
59,33,33,33
2,53,53,53
67,30,30,30
16,16,93,86
81,81,45,89
94,94,40,40
27,68,68,68
76,99,99,99
77,77,51,77
12,12,72,72
18,34,34,34
0,0,18,0
76,76,17,12
79,79,3,79
71,71,84,84
89,89,77,15
57,57,10,53
47,59,59,59
24,24,7,24
65,65,36,36
0,41,41,41
32,32,45,51
36,36,63,36
82,82,62,82
31,31,59,21
23,23,63,23
24,24,7,24
34,34,93,34
21,21,45,98
11,11,32,86
53,53,51,53
80,80,72,72
44,44,45,13
4,4,45,74
39,39,23,39
91,91,44,91
16,16,90,16
36,36,93,64
68,68,33,68
50,50,63,74
97,97,16,66
58,89,89,89
31,72,72,72
6,6,39,24
42,42,78,78
80,80,65,65
76,76,23,76
89,89,90,41
55,55,93,72
19,19,38,38
91,91,65,73
70,82,82,82
1,1,91,44
6,6,44,44
62,69,69,69
99,99,10,99
51,51,27,51
96,96,59,52
83,0,0,0
42,42,51,51
18,18,1,1
67,67,93,67
66,80,80,80
40,40,11,40
62,62,70,62
78,44,44,44
84,84,33,84
28,28,78,40
89,89,48,12
30,30,5,95
66,66,78,55
18,6,6,6
38,19,19,19
42,42,96,78
92,92,70,92
27,27,63,91
11,44,44,59
86,86,47,76
44,44,27,27
96,96,34,65
12,12,74,12
16,16,7,90
67,67,63,2
43,43,33,88
89,48,48,48
96,96,33,33
12,12,11,41
40,40,27,51
7,7,3,77
86,16,16,95
77,38,38,38
76,76,59,76
31,31,63,3
18,44,44,44
28,28,2,28
19,19,51,51
18,18,84,84
41,41,24,41
42,42,33,51
43,72,72,72
31,3,3,3
93,67,67,67
15,15,42,66
10,61,61,61
8,8,99,8
37,17,17,17
89,17,17,17
32,65,65,65
67,67,33,67
12,12,7,12
2,2,45,2
19,31,31,31
91,91,35,91
94,94,63,76
7,14,14,14
71,71,82,60
36,36,33,36
61,61,40,61
62,62,82,7
5,5,73,65
60,60,23,71
45,67,67,67
91,91,73,74
34,34,97,97
95,67,67,67
9,9,96,86
40,67,67,73
68,68,33,68
62,62,70,62
99,99,39,18
66,66,97,97
46,21,21,21
7,24,24,24
10,10,33,10
10,22,22,22
68,68,17,68
34,80,80,80
37,49,49,49
58,58,41,58
48,48,8,48
40,40,51,40
96,96,93,63
14,14,78,42
11,11,35,35
66,66,78,26
64,64,36,36
39,39,61,39
33,90,90,90
94,94,33,84
63,63,93,63
10,10,78,61
89,89,26,26
92,92,62,54
90,90,37,37
65,38,38,38
90,90,81,89
33,33,96,33
28,28,40,40
29,29,38,38
87,5,5,5
86,86,61,72
7,7,24,24
0,0,47,0
94,94,82,94
11,11,45,35
26,26,45,15
6,6,18,6
41,41,11,41
21,38,38,38
69,69,23,23
27,93,93,93
29,29,72,29
67,73,73,73
85,85,49,90
65,65,39,50
40,28,28,28
57,57,74,50
72,6,6,6
30,30,10,95
74,64,64,64
27,27,42,42
3,4,4,4
49,49,33,12
52,47,47,47
95,95,73,73
40,40,51,51
93,93,7,72
77,34,34,34
91,25,25,5
6,6,39,24
57,57,77,77
72,55,55,55
16,16,9,16
98,95,95,65
89,89,42,42
40,40,63,68
96,47,47,47
71,71,73,71
3,72,72,72
2,46,46,46
66,66,97,97
27,65,65,65
8,8,16,16
53,53,62,53
33,15,15,15
55,4,4,4
81,81,27,58
88,88,6,50
96,96,47,33
68,68,23,71
42,42,78,78
77,77,51,55
10,61,61,22
27,27,3,3
32,32,11,11
79,80,80,80
98,98,35,98
18,69,69,24
51,51,78,51
2,41,41,41
19,19,2,51
31,31,34,29
67,67,93,73
36,36,61,50
10,10,51,51
16,16,45,16
5,5,33,25
81,81,26,13
85,85,89,85
26,79,79,79
85,85,37,37
