label,origin_pred,pred_eps=8.0,pred_eps=4.0
49,11,11,11
33,50,50,97
72,37,37,37
51,51,91,91
71,71,71,71
92,3,3,6
15,38,38,8
14,14,74,74
23,23,60,60
0,53,53,53
71,76,76,87
75,75,73,73
81,81,13,13
69,69,69,69
40,40,40,40
43,43,38,38
92,92,92,92
97,97,97,97
70,70,62,70
53,53,53,53
70,70,70,70
49,49,39,49
75,75,75,75
29,76,76,76
21,21,87,21
16,16,22,16
39,39,39,39
8,8,8,8
8,8,24,24
70,84,84,84
20,20,20,20
61,61,10,10
41,41,41,41
93,73,73,73
56,56,31,56
73,64,64,64
58,58,41,58
11,11,35,35
25,25,26,25
37,37,17,12
63,63,38,38
24,24,9,9
49,49,39,39
73,30,30,23
56,56,56,56
22,22,22,22
41,41,83,83
58,58,58,58
75,75,64,75
17,76,76,76
4,4,80,4
6,6,42,42
9,9,16,9
57,57,35,57
2,2,11,11
32,32,11,32
71,71,49,71
52,52,47,47
42,42,88,42
69,69,69,69
77,78,78,78
27,27,67,27
15,31,31,31
65,65,55,55
7,62,62,62
35,35,45,45
43,43,50,50
82,82,70,70
63,63,66,63
92,57,57,57
66,66,48,48
90,72,72,72
67,67,36,36
91,91,91,91
32,76,76,76
32,32,11,32
82,82,82,82
10,10,16,10
77,77,0,77
22,61,61,61
71,71,49,49
78,25,25,25
54,54,54,54
6,6,7,6
29,29,73,29
89,89,19,19
78,99,99,99
33,31,31,42
11,35,35,46
67,30,30,30
22,10,10,10
18,18,39,18
27,93,93,93
21,21,21,21
13,13,81,13
21,21,65,21
50,50,6,6
75,7,7,7
37,68,68,68
35,89,89,89
26,26,27,27
83,92,92,92
47,47,17,47
95,95,9,9
43,43,43,43
69,69,69,69
76,76,76,76
17,17,49,17
57,57,53,53
59,47,47,47
25,25,25,25
20,20,20,20
27,27,27,27
0,0,26,26
9,94,94,94
71,71,60,71
8,8,48,48
43,43,64,43
57,57,53,53
56,56,56,56
85,85,90,90
10,45,45,45
19,19,38,38
92,92,62,62
33,33,89,89
20,20,84,84
21,21,3,3
50,31,31,43
70,70,51,70
46,35,35,35
11,40,40,16
16,16,16,16
1,1,81,81
74,74,10,10
33,3,3,3
91,91,91,91
60,60,60,60
64,97,97,97
52,52,47,52
23,23,71,23
4,4,42,4
11,11,11,11
52,52,47,52
37,80,80,89
24,24,7,7
95,95,95,95
25,25,58,25
39,39,39,39
51,51,91,91
58,58,85,85
58,48,48,48
77,77,61,61
18,66,66,66
59,49,49,49
45,45,55,45
66,66,27,27
58,58,85,58
20,20,20,20
24,24,7,21
4,42,42,42
36,36,35,36
8,8,20,20
87,31,31,31
10,10,51,51
30,97,97,97
47,47,96,96
54,54,54,54
99,99,99,99
51,51,51,51
83,83,45,45
9,9,16,16
37,26,26,45
4,74,74,74
83,16,16,16
95,95,95,95
83,83,45,45
32,95,95,95
73,73,93,73
18,51,51,51
40,40,40,40
39,33,33,33
64,97,97,97
22,22,22,22
80,50,50,50
28,16,16,31
28,28,40,40
40,25,25,25
95,95,30,95
98,98,98,98
83,83,70,83
12,12,12,12
24,7,7,7
45,62,62,62
13,13,13,13
94,94,94,94
24,24,24,24
58,90,90,90
63,63,42,42
7,7,24,7
87,87,9,87
6,6,50,50
78,78,78,78
68,68,59,59
60,60,60,60
6,6,45,45
23,23,23,23
44,44,79,79
31,31,19,19
80,22,22,22
93,93,59,93
73,93,93,93
98,11,11,11
49,49,17,17
90,33,33,33
97,97,97,97
59,59,31,31
2,53,53,53
67,30,30,30
16,83,83,83
81,81,58,58
94,94,5,94
27,95,95,95
76,5,5,27
77,77,80,77
12,12,68,68
18,44,44,50
0,0,83,0
76,25,25,25
79,80,80,80
71,71,71,71
89,89,89,89
57,57,0,57
47,59,59,59
24,24,24,24
65,65,36,65
0,45,45,45
32,32,31,31
36,36,43,36
82,82,82,82
31,96,96,96
23,23,23,23
24,24,24,24
34,34,1,1
21,21,86,86
11,11,98,11
53,53,53,53
80,80,38,38
44,44,13,13
4,3,3,3
39,39,16,39
91,91,12,91
16,16,25,16
36,66,66,86
68,68,36,36
50,57,57,57
97,38,38,38
58,8,8,8
31,75,75,75
6,11,11,11
42,42,6,42
80,38,38,38
76,76,76,76
89,13,13,13
55,30,30,30
19,19,45,45
91,91,75,91
70,62,62,62
1,1,38,1
6,44,44,44
62,62,70,70
99,99,99,99
51,51,51,51
96,96,59,59
83,0,0,0
42,42,17,17
18,91,91,91
67,67,67,67
66,28,28,28
40,40,40,40
62,62,62,62
78,78,51,51
84,84,84,84
28,40,40,40
89,89,58,89
30,95,95,73
66,66,26,26
18,6,6,6
38,19,19,19
42,42,78,78
92,92,10,92
27,91,91,91
11,38,38,38
86,86,87,86
44,27,27,27
96,96,15,96
12,12,12,12
