label,origin_pred,pred_eps=8.0,pred_eps=4.0
49,68,68,68
33,33,96,56
72,55,55,55
51,51,33,91
71,71,96,96
92,6,6,45
15,27,27,27
14,74,74,74
23,71,71,71
0,0,93,83
71,12,12,12
75,75,77,95
81,81,90,90
69,69,23,23
40,40,44,51
43,43,96,38
92,92,62,1
97,97,6,64
70,70,92,92
53,53,51,92
70,70,62,92
49,49,39,95
75,75,45,45
29,90,90,90
21,21,46,35
16,16,10,10
39,39,25,39
8,8,84,84
8,16,16,16
70,98,98,35
20,20,5,5
61,22,22,22
41,41,24,48
93,73,73,73
56,56,96,96
73,44,44,64
58,58,45,45
11,35,35,35
25,25,10,12
37,37,81,81
63,63,96,29
24,24,18,18
49,95,95,95
73,30,30,30
56,56,59,59
22,22,61,61
41,41,48,48
58,58,89,58
75,75,51,51
17,89,89,51
4,4,6,72
6,6,45,45
9,9,51,16
57,57,78,77
2,2,63,35
32,32,35,2
71,71,73,60
52,52,47,47
42,42,63,97
69,69,93,95
77,99,99,99
27,27,96,32
15,19,19,19
65,44,44,44
7,45,45,45
35,98,98,98
43,43,45,97
82,82,62,70
63,63,93,41
92,92,54,57
66,66,8,8
90,89,89,89
67,67,63,63
91,91,1,1
32,67,67,67
32,32,62,62
82,82,92,48
10,10,16,16
77,77,18,24
22,61,61,61
71,71,23,23
78,78,93,44
54,54,6,6
6,6,24,7
29,29,44,1
89,89,13,13
78,99,99,99
33,33,59,63
11,11,35,35
67,67,23,73
22,22,61,61
18,18,80,80
27,27,44,4
21,21,51,98
13,13,81,81
21,21,45,63
50,50,93,66
75,14,14,14
37,37,33,17
35,5,5,5
26,26,33,79
83,57,57,1
47,47,33,96
95,86,86,86
43,43,33,77
69,69,23,23
76,76,18,18
17,17,12,12
57,57,67,67
59,59,72,47
25,25,39,20
20,20,25,25
27,27,93,93
0,83,83,83
9,9,65,38
71,71,24,60
8,48,48,48
43,43,64,38
57,57,77,10
56,56,79,79
85,85,90,90
10,11,11,11
19,19,38,38
92,92,70,70
33,33,96,96
20,20,33,5
21,3,3,3
50,88,88,88
70,70,51,92
46,35,35,35
11,86,86,86
16,16,66,86
1,1,93,93
74,74,45,10
33,34,34,34
91,91,67,67
60,60,74,33
64,64,15,35
