label,origin_pred,pred_eps=8.0,pred_eps=4.0
49,72,72,72
33,33,96,33
72,15,15,15
51,87,87,87
71,71,23,71
92,4,4,4
15,63,63,63
14,55,55,55
23,23,71,23
0,57,57,57
71,76,76,76
75,75,73,75
81,13,13,58
69,69,67,69
40,40,40,40
43,43,42,43
92,92,14,92
97,97,50,65
70,70,54,70
53,70,70,70
70,70,36,70
49,49,37,49
75,75,75,75
29,47,47,47
21,21,87,21
16,16,94,16
39,39,12,39
8,8,37,8
8,7,7,7
70,45,45,45
20,20,20,20
61,10,10,10
41,41,24,41
93,73,73,73
56,56,31,56
73,38,38,38
58,83,83,83
11,35,35,35
25,25,0,25
37,37,81,81
63,66,66,66
24,14,14,14
49,58,58,58
73,30,30,30
56,56,8,56
22,22,22,22
41,48,48,48
58,58,5,58
75,14,14,21
17,29,29,29
4,4,32,4
6,15,15,15
9,9,16,9
57,36,36,36
2,2,50,50
32,32,64,64
71,71,73,71
52,52,59,52
42,42,8,42
69,69,30,69
77,15,15,15
27,27,32,32
15,89,89,56
65,65,44,80
7,45,45,45
35,98,98,39
43,50,50,50
82,62,62,62
63,63,88,63
92,92,14,14
66,66,8,8
90,37,37,97
67,65,65,65
91,91,51,91
32,76,76,76
32,32,11,32
82,82,82,82
10,10,84,10
77,77,77,77
22,61,61,61
71,71,23,23
78,84,84,84
54,54,70,54
6,7,7,7
29,73,73,73
89,89,13,89
78,99,99,99
33,59,59,59
11,98,98,98
67,30,30,30
22,10,10,10
18,18,79,18
27,4,4,4
21,21,19,21
13,81,81,81
21,31,31,31
50,74,74,74
75,85,85,27
37,68,68,68
35,38,38,38
26,29,29,29
83,70,70,70
47,47,52,47
95,91,91,91
43,43,63,43
69,69,69,69
76,76,76,76
17,17,37,17
57,57,53,57
59,59,47,59
25,25,5,25
20,20,86,20
27,27,29,27
0,26,26,26
9,94,94,94
71,71,60,71
8,8,58,8
43,43,4,43
57,77,77,77
56,56,56,56
85,85,58,85
10,84,84,84
19,19,38,19
92,92,62,92
33,33,59,59
20,20,25,20
21,21,3,21
50,74,74,74
70,70,62,70
46,35,35,35
11,11,46,11
16,16,16,16
1,81,81,81
74,66,66,66
33,3,3,3
91,91,32,91
60,60,17,60
64,38,38,38
52,52,47,52
23,23,69,23
4,50,50,50
11,35,35,35
52,52,59,52
37,89,89,89
24,7,7,7
95,95,30,95
25,58,58,58
39,39,50,39
51,97,97,97
58,58,89,89
58,89,89,89
77,63,63,63
18,66,66,66
59,60,60,60
45,45,34,45
66,50,50,50
58,85,85,85
20,20,5,20
24,24,77,24
4,8,8,8
36,36,32,36
8,8,96,8
87,64,64,64
10,40,40,40
30,75,75,65
47,96,96,96
54,54,54,54
99,99,33,99
51,51,4,51
83,83,0,83
9,16,16,16
37,36,36,10
4,74,74,74
83,16,16,16
95,95,75,95
83,0,0,0
32,95,95,95
73,95,95,95
18,18,33,18
40,40,20,40
39,33,33,8
64,38,38,38
22,22,86,22
80,65,65,65
28,93,93,93
28,64,64,64
40,84,84,84
95,95,30,95
98,45,45,45
83,83,70,83
12,12,37,12
24,24,7,24
45,40,40,40
13,13,58,13
94,94,16,94
24,24,10,24
58,90,90,90
63,63,36,63
7,7,24,7
87,87,5,87
6,50,50,50
78,78,8,78
68,68,96,68
60,60,71,60
6,6,93,6
23,23,27,23
44,44,79,44
31,31,96,31
80,32,32,32
93,59,59,59
73,30,30,30
98,11,11,11
49,49,17,49
90,3,3,3
97,97,97,97
59,96,96,96
2,2,36,2
67,95,95,95
16,83,83,83
81,81,12,81
94,94,5,94
27,47,47,47
76,23,23,23
77,77,84,77
12,12,17,12
18,72,72,72
0,83,83,83
76,39,39,39
79,55,55,21
71,71,60,71
89,89,72,89
57,0,0,0
47,59,59,59
24,24,24,24
65,65,2,65
0,92,92,92
32,56,56,56
36,36,50,36
82,82,82,82
31,31,4,31
23,23,71,23
24,24,24,24
34,34,1,34
21,98,98,98
11,11,35,11
53,53,62,53
80,38,38,38
44,27,27,91
4,65,65,65
39,16,16,16
91,91,33,91
16,16,65,16
36,65,65,65
68,36,36,36
50,50,4,50
97,64,64,64
58,33,33,33
31,75,75,75
6,66,66,66
42,50,50,50
80,38,38,38
76,76,59,76
89,13,13,13
55,63,63,63
19,19,21,21
91,91,64,91
70,70,82,70
1,1,62,1
6,84,84,84
62,62,1,62
99,99,61,99
51,51,19,51
96,59,59,59
83,0,0,0
42,25,25,25
18,91,91,91
67,67,72,67
66,43,43,43
40,40,56,40
62,62,62,62
78,78,51,78
