checkpoint,arch,status,output_shape,load_target,load_variant,missing_keys,unexpected_keys,state_dict_keys,device,seconds,error
models/cifar10/Linf/ResNet-AT.pt,resnet50,ok,2x10,wrapper,as_saved,,,322,cuda,1.386,
models/cifar10/Linf/ResNet-AT_v2.pt,resnet50,ok,2x10,wrapper,as_saved,,,322,cuda,0.313,
models/cifar10/Linf/ResNet-TRADES.pt,resnet50,ok,2x10,wrapper,as_saved,,,322,cuda,0.272,
models/cifar10/Linf/ResNet.pt,resnet50,ok,2x10,wrapper,as_saved,,,322,cuda,0.267,
models/cifar10/Linf/ResNet_AA.pt,resnet50_aa,ok,2x10,wrapper,as_saved,,,328,cuda,0.283,
models/cifar10/Linf/ResNet_LipReg-AT.pt,lipreg,ok,2x10,wrapper,as_saved,,,322,cuda,0.315,
models/cifar10/Linf/ResNet_LipReg.pt,lipreg,ok,2x10,wrapper,as_saved,,,322,cuda,0.282,
models/cifar10/Linf/ResNet_LipReg_AA-AT.pt,lipreg_aa,failed,,,,,,,cuda,1.118,"RuntimeError('Could not load ResNet_LipReg_AA-AT.pt as lipreg_aa. Last attempts:\nwrapper/prefixed_for_wrapper/strict=True: Error(s) in loading state_dict for Sequential:\n\tsize mismatch for model.model.4.0.conv3.0.w: copying a param with shape torch.Size([7]) from checkpoint, the shape in current model is torch.Size([5]).\n\tsize mismatch for model.model.4.0.shortcut.0.w: copying a param with shape torch.Size([7]) from checkpoint, the shape in current model is torch.Size([5]).\n\tsize mismatch for model.model.5.0.conv3.0.w: copying a param with shape torch.Size([7]) from checkpoint, the shape in current model is torch.Size([5]).\n\tsize mismatch for model.model.5.0.shortcut.0.w: copying a param with shape torch.Size([7]) from checkpoint, the shape in current model is torch.Size([5]).\n\tsize mismatch for model.model.6.0.conv3.0.w: copying a param with shape torch.Size([7]) from checkpoint, the shape in current model is torch.Size([5]).\n\tsize mismatch for model.model.6.0.shortcut.0.w: copying a param with shape torch.Size([7]) from checkpoint, the shape in current model is torch.Size([5]).\nwrapper/prefixed_for_wrapper/strict=False: Error(s) in loading state_dict for Sequential:\n\tsize mismatch for model.model.4.0.conv3.0.w: copying a param with shape torch.Size([7]) from checkpoint, the shape in current model is torch.Size([5]).\n\tsize mismatch for model.model.4.0.shortcut.0.w: copying a param with shape torch.Size([7]) from checkpoint, the shape in current model is torch.Size([5]).\n\tsize mismatch for model.model.5.0.conv3.0.w: copying a param with shape torch.Size([7]) from checkpoint, the shape in current model is torch.Size([5]).\n\tsize mismatch for model.model.5.0.shortcut.0.w: copying a param with shape torch.Size([7]) from checkpoint, the shape in current model is torch.Size([5]).\n\tsize mismatch for model.model.6.0.conv3.0.w: copying a param with shape torch.Size([7]) from checkpoint, the shape in current model is torch.Size([5]).\n\tsize mismatch for model.model.6.0.shortcut.0.w: copying a param with shape torch.Size([7]) from checkpoint, the shape in current model is torch.Size([5]).\nbackbone/stripped_for_backbone/strict=True: Error(s) in loading state_dict for LipReg_aa:\n\tsize mismatch for model.4.0.conv3.0.w: copying a param with shape torch.Size([7]) from checkpoint, the shape in current model is torch.Size([5]).\n\tsize mismatch for model.4.0.shortcut.0.w: copying a param with shape torch.Size([7]) from checkpoint, the shape in current model is torch.Size([5]).\n\tsize mismatch for model.5.0.conv3.0.w: copying a param with shape torch.Size([7]) from checkpoint, the shape in current model is torch.Size([5]).\n\tsize mismatch for model.5.0.shortcut.0.w: copying a param with shape torch.Size([7]) from checkpoint, the shape in current model is torch.Size([5]).\n\tsize mismatch for model.6.0.conv3.0.w: copying a param with shape torch.Size([7]) from checkpoint, the shape in current model is torch.Size([5]).\n\tsize mismatch for model.6.0.shortcut.0.w: copying a param with shape torch.Size([7]) from checkpoint, the shape in current model is torch.Size([5]).\nbackbone/stripped_for_backbone/strict=False: Error(s) in loading state_dict for LipReg_aa:\n\tsize mismatch for model.4.0.conv3.0.w: copying a param with shape torch.Size([7]) from checkpoint, the shape in current model is torch.Size([5]).\n\tsize mismatch for model.4.0.shortcut.0.w: copying a param with shape torch.Size([7]) from checkpoint, the shape in current model is torch.Size([5]).\n\tsize mismatch for model.5.0.conv3.0.w: copying a param with shape torch.Size([7]) from checkpoint, the shape in current model is torch.Size([5]).\n\tsize mismatch for model.5.0.shortcut.0.w: copying a param with shape torch.Size([7]) from checkpoint, the shape in current model is torch.Size([5]).\n\tsize mismatch for model.6.0.conv3.0.w: copying a param with shape torch.Size([7]) from checkpoint, the shape in current model is torch.Size([5]).\n\tsize mismatch for model.6.0.shortcut.0.w: copying a param with shape torch.Size([7]) from checkpoint, the shape in current model is torch.Size([5]).\nbackbone/as_saved/strict=True: Error(s) in loading state_dict for LipReg_aa:\n\tMissing key(s) in state_dict: ""model.0.weight"", ""model.1.weight"", ""model.1.bias"", ""model.1.running_mean"", ""model.1.running_var"", ""model.3.0.conv1.weight"", ""model.3.0.bn1.weight"", ""model.3.0.bn1.bias"", ""model.3.0.bn1.running_mean"", ""model.3.0.bn1.running_var"", ""model.3.0.conv2.weight"", ""model.3.0.bn2.weight"", ""model.3.0.bn2.bias"", ""model.3.0.bn2.running_mean"", ""model.3.0.bn2.running_var"", ""model.3.0.conv3.weight"", ""model.3.0.bn3.weight"", ""model.3.0.bn3.bias"", ""model.3.0.bn3.running_mean"", ""model.3.0.bn3.running_var"", ""model.3.0.shortcut.0.weight"", ""model.3.0.shortcut.1.weight"", ""model.3.0.shortcut.1.bias"", ""model.3.0.shortcut.1.running_mean"", ""model.3.0.shortcut.1.running_var"", ""model.3.1.conv1.weight"", ""model.3.1.bn1.weight"", ""model.3.1.bn1.bias"", ""model.3.1.bn1.running_mean"", ""model.3.1.bn1.running_var"", ""model.3.1.conv2.weight"", ""model.3.1.bn2.weight"", ""model.3.1.bn2.bias"", ""model.3.1.bn2.running_mean"", ""model.3.1.bn2.running_var"", ""model.3.1.conv3.weight"", ""model.3.1.bn3.weight"", ""model.3.1.bn3.bias"", ""model.3.1.bn3.running_mean"", ""model.3.1.bn3.running_var"", ""model.3.2.conv1.weight"", ""model.3.2.bn1.weight"", ""model.3.2.bn1.bias"", ""model.3.2.bn1.running_mean"", ""model.3.2.bn1.running_var"", ""model.3.2.conv2.weight"", ""model.3.2.bn2.weight"", ""model.3.2.bn2.bias"", ""model.3.2.bn2.running_mean"", ""model.3.2.bn2.running_var"", ""model.3.2.conv3.weight"", ""model.3.2.bn3.weight"", ""model.3.2.bn3.bias"", ""model.3.2.bn3.running_mean"", ""model.3.2.bn3.running_var"", ""model.4.0.conv1.weight"", ""model.4.0.bn1.weight"", ""model.4.0.bn1.bias"", ""model.4.0.bn1.running_mean"", ""model.4.0.bn1.running_var"", ""model.4.0.conv2.weight"", ""model.4.0.bn2.weight"", ""model.4.0.bn2.bias"", ""model.4.0.bn2.running_mean"", ""model.4.0.bn2.running_var"", ""model.4.0.conv3.0.w"", ""model.4.0.conv3.1.weight"", ""model.4.0.bn3.weight"", ""model.4.0.bn3.bias"", ""model.4.0.bn3.running_mean"", ""model.4.0.bn3.running_var"", ""model.4.0.shortcut.0.w"", ""model.4.0.shortcut.1.weight"", ""model.4.0.shortcut.2.weight"", ""model.4.0.shortcut.2.bias"", ""model.4.0.shortcut.2.running_mean"", ""model.4.0.shortcut.2.running_var"", ""model.4.1.conv1.weight"", ""model.4.1.bn1.weight"", ""model.4.1.bn1.bias"", ""model.4.1.bn1.running_mean"", ""model.4.1.bn1.running_var"", ""model.4.1.conv2.weight"", ""model.4.1.bn2.weight"", ""model.4.1.bn2.bias"", ""model.4.1.bn2.running_mean"", ""model.4.1.bn2.running_var"", ""model.4.1.conv3.weight"", ""model.4.1.bn3.weight"", ""model.4.1.bn3.bias"", ""model.4.1.bn3.running_mean"", ""model.4.1.bn3.running_var"", ""model.4.2.conv1.weight"", ""model.4.2.bn1.weight"", ""model.4.2.bn1.bias"", ""model.4.2.bn1.running_mean"", ""model.4.2.bn1.running_var"", ""model.4.2.conv2.weight"", ""model.4.2.bn2.weight"", ""model.4.2.bn2.bias"", ""model.4.2.bn2.running_mean"", ""model.4.2.bn2.running_var"", ""model.4.2.conv3.weight"", ""model.4.2.bn3.weight"", ""model.4.2.bn3.bias"", ""model.4.2.bn3.running_mean"", ""model.4.2.bn3.running_var"", ""model.4.3.conv1.weight"", ""model.4.3.bn1.weight"", ""model.4.3.bn1.bias"", ""model.4.3.bn1.running_mean"", ""model.4.3.bn1.running_var"", ""model.4.3.conv2.weight"", ""model.4.3.bn2.weight"", ""model.4.3.bn2.bias"", ""model.4.3.bn2.running_mean"", ""model.4.3.bn2.running_var"", ""model.4.3.conv3.weight"", ""model.4.3.bn3.weight"", ""model.4.3.bn3.bias"", ""model.4.3.bn3.running_mean"", ""model.4.3.bn3.running_var"", ""model.5.0.conv1.weight"", ""model.5.0.bn1.weight"", ""model.5.0.bn1.bias"", ""model.5.0.bn1.running_mean"", ""model.5.0.bn1.running_var"", ""model.5.0.conv2.weight"", ""model.5.0.bn2.weight"", ""model.5.0.bn2.bias"", ""model.5.0.bn2.running_mean"", ""model.5.0.bn2.running_var"", ""model.5.0.conv3.0.w"", ""model.5.0.conv3.1.weight"", ""model.5.0.bn3.weight"", ""model.5.0.bn3.bias"", ""model.5.0.bn3.running_mean"", ""model.5.0.bn3.running_var"", ""model.5.0.shortcut.0.w"", ""model.5.0.shortcut.1.weight"", ""model.5.0.shortcut.2.weight"", ""model.5.0.shortcut.2.bias"", ""model.5.0.shortcut.2.running_mean"", ""model.5.0.shortcut.2.running_var"", ""model.5.1.conv1.weight"", ""model.5.1.bn1.weight"", ""model.5.1.bn1.bias"", ""model.5.1.bn1.running_mean"", ""model.5.1.bn1.running_var"", ""model.5.1.conv2.weight"", ""model.5.1.bn2.weight"", ""model.5.1.bn2.bias"", ""model.5.1.bn2.running_mean"", ""model.5.1.bn2.running_var"", ""model.5.1.conv3.weight"", ""model.5.1.bn3.weight"", ""model.5.1.bn3.bias"", ""model.5.1.bn3.running_mean"", ""model.5.1.bn3.running_var"", ""model.5.2.conv1.weight"", ""model.5.2.bn1.weight"", ""model.5.2.bn1.bias"", ""model.5.2.bn1.running_mean"", ""model.5.2.bn1.running_var"", ""model.5.2.conv2.weight"", ""model.5.2.bn2.weight"", ""model.5.2.bn2.bias"", ""model.5.2.bn2.running_mean"", ""model.5.2.bn2.running_var"", ""model.5.2.conv3.weight"", ""model.5.2.bn3.weight"", ""model.5.2.bn3.bias"", ""model.5.2.bn3.running_mean"", ""model.5.2.bn3.running_var"", ""model.5.3.conv1.weight"", ""model.5.3.bn1.weight"", ""model.5.3.bn1.bias"", ""model.5.3.bn1.running_mean"", ""model.5.3.bn1.running_var"", ""model.5.3.conv2.weight"", ""model.5.3.bn2.weight"", ""model.5.3.bn2.bias"", ""model.5.3.bn2.running_mean"", ""model.5.3.bn2.running_var"", ""model.5.3.conv3.weight"", ""model.5.3.bn3.weight"", ""model.5.3.bn3.bias"", ""model.5.3.bn3.running_mean"", ""model.5.3.bn3.running_var"", ""model.5.4.conv1.weight"", ""model.5.4.bn1.weight"", ""model.5.4.bn1.bias"", ""model.5.4.bn1.running_mean"", ""model.5.4.bn1.running_var"", ""model.5.4.conv2.weight"", ""model.5.4.bn2.weight"", ""model.5.4.bn2.bias"", ""model.5.4.bn2.running_mean"", ""model.5.4.bn2.running_var"", ""model.5.4.conv3.weight"", ""model.5.4.bn3.weight"", ""model.5.4.bn3.bias"", ""model.5.4.bn3.running_mean"", ""model.5.4.bn3.running_var"", ""model.5.5.conv1.weight"", ""model.5.5.bn1.weight"", ""model.5.5.bn1.bias"", ""model.5.5.bn1.running_mean"", ""model.5.5.bn1.running_var"", ""model.5.5.conv2.weight"", ""model.5.5.bn2.weight"", ""model.5.5.bn2.bias"", ""model.5.5.bn2.running_mean"", ""model.5.5.bn2.running_var"", ""model.5.5.conv3.weight"", ""model.5.5.bn3.weight"", ""model.5.5.bn3.bias"", ""model.5.5.bn3.running_mean"", ""model.5.5.bn3.running_var"", ""model.6.0.conv1.weight"", ""model.6.0.bn1.weight"", ""model.6.0.bn1.bias"", ""model.6.0.bn1.running_mean"", ""model.6.0.bn1.running_var"", ""model.6.0.conv2.weight"", ""model.6.0.bn2.weight"", ""model.6.0.bn2.bias"", ""model.6.0.bn2.running_mean"", ""model.6.0.bn2.running_var"", ""model.6.0.conv3.0.w"", ""model.6.0.conv3.1.weight"", ""model.6.0.bn3.weight"", ""model.6.0.bn3.bias"", ""model.6.0.bn3.running_mean"", ""model.6.0.bn3.running_var"", ""model.6.0.shortcut.0.w"", ""model.6.0.shortcut.1.weight"", ""model.6.0.shortcut.2.weight"", ""model.6.0.shortcut.2.bias"", ""model.6.0.shortcut.2.running_mean"", ""model.6.0.shortcut.2.running_var"", ""model.6.1.conv1.weight"", ""model.6.1.bn1.weight"", ""model.6.1.bn1.bias"", ""model.6.1.bn1.running_mean"", ""model.6.1.bn1.running_var"", ""model.6.1.conv2.weight"", ""model.6.1.bn2.weight"", ""model.6.1.bn2.bias"", ""model.6.1.bn2.running_mean"", ""model.6.1.bn2.running_var"", ""model.6.1.conv3.weight"", ""model.6.1.bn3.weight"", ""model.6.1.bn3.bias"", ""model.6.1.bn3.running_mean"", ""model.6.1.bn3.running_var"", ""model.6.2.conv1.weight"", ""model.6.2.bn1.weight"", ""model.6.2.bn1.bias"", ""model.6.2.bn1.running_mean"", ""model.6.2.bn1.running_var"", ""model.6.2.conv2.weight"", ""model.6.2.bn2.weight"", ""model.6.2.bn2.bias"", ""model.6.2.bn2.running_mean"", ""model.6.2.bn2.running_var"", ""model.6.2.conv3.weight"", ""model.6.2.bn3.weight"", ""model.6.2.bn3.bias"", ""model.6.2.bn3.running_mean"", ""model.6.2.bn3.running_var"", ""fc.weight"", ""fc.bias"". \n\tUnexpected key(s) in state_dict: ""normalize.mean"", ""normalize.std"", ""model.model.0.weight"", ""model.model.1.weight"", ""model.model.1.bias"", ""model.model.1.running_mean"", ""model.model.1.running_var"", ""model.model.1.num_batches_tracked"", ""model.model.3.0.conv1.weight"", ""model.model.3.0.bn1.weight"", ""model.model.3.0.bn1.bias"", ""model.model.3.0.bn1.running_mean"", ""model.model.3.0.bn1.running_var"", ""model.model.3.0.bn1.num_batches_tracked"", ""model.model.3.0.conv2.weight"", ""model.model.3.0.bn2.weight"", ""model.model.3.0.bn2.bias"", ""model.model.3.0.bn2.running_mean"", ""model.model.3.0.bn2.running_var"", ""model.model.3.0.bn2.num_batches_tracked"", ""model.model.3.0.conv3.weight"", ""model.model.3.0.bn3.weight"", ""model.model.3.0.bn3.bias"", ""model.model.3.0.bn3.running_mean"", ""model.model.3.0.bn3.running_var"", ""model.model.3.0.bn3.num_batches_tracked"", ""model.model.3.0.shortcut.0.weight"", ""model.model.3.0.shortcut.1.weight"", ""model.model.3.0.shortcut.1.bias"", ""model.model.3.0.shortcut.1.running_mean"", ""model.model.3.0.shortcut.1.running_var"", ""model.model.3.0.shortcut.1.num_batches_tracked"", ""model.model.3.1.conv1.weight"", ""model.model.3.1.bn1.weight"", ""model.model.3.1.bn1.bias"", ""model.model.3.1.bn1.running_mean"", ""model.model.3.1.bn1.running_var"", ""model.model.3.1.bn1.num_batches_tracked"", ""model.model.3.1.conv2.weight"", ""model.model.3.1.bn2.weight"", ""model.model.3.1.bn2.bias"", ""model.model.3.1.bn2.running_mean"", ""model.model.3.1.bn2.running_var"", ""model.model.3.1.bn2.num_batches_tracked"", ""model.model.3.1.conv3.weight"", ""model.model.3.1.bn3.weight"", ""model.model.3.1.bn3.bias"", ""model.model.3.1.bn3.running_mean"", ""model.model.3.1.bn3.running_var"", ""model.model.3.1.bn3.num_batches_tracked"", ""model.model.3.2.conv1.weight"", ""model.model.3.2.bn1.weight"", ""model.model.3.2.bn1.bias"", ""model.model.3.2.bn1.running_mean"", ""model.model.3.2.bn1.running_var"", ""model.model.3.2.bn1.num_batches_tracked"", ""model.model.3.2.conv2.weight"", ""model.model.3.2.bn2.weight"", ""model.model.3.2.bn2.bias"", ""model.model.3.2.bn2.running_mean"", ""model.model.3.2.bn2.running_var"", ""model.model.3.2.bn2.num_batches_tracked"", ""model.model.3.2.conv3.weight"", ""model.model.3.2.bn3.weight"", ""model.model.3.2.bn3.bias"", ""model.model.3.2.bn3.running_mean"", ""model.model.3.2.bn3.running_var"", ""model.model.3.2.bn3.num_batches_tracked"", ""model.model.4.0.conv1.weight"", ""model.model.4.0.bn1.weight"", ""model.model.4.0.bn1.bias"", ""model.model.4.0.bn1.running_mean"", ""model.model.4.0.bn1.running_var"", ""model.model.4.0.bn1.num_batches_tracked"", ""model.model.4.0.conv2.weight"", ""model.model.4.0.bn2.weight"", ""model.model.4.0.bn2.bias"", ""model.model.4.0.bn2.running_mean"", ""model.model.4.0.bn2.running_var"", ""model.model.4.0.bn2.num_batches_tracked"", ""model.model.4.0.conv3.0.w"", ""model.model.4.0.conv3.1.weight"", ""model.model.4.0.bn3.weight"", ""model.model.4.0.bn3.bias"", ""model.model.4.0.bn3.running_mean"", ""model.model.4.0.bn3.running_var"", ""model.model.4.0.bn3.num_batches_tracked"", ""model.model.4.0.shortcut.0.w"", ""model.model.4.0.shortcut.1.weight"", ""model.model.4.0.shortcut.2.weight"", ""model.model.4.0.shortcut.2.bias"", ""model.model.4.0.shortcut.2.running_mean"", ""model.model.4.0.shortcut.2.running_var"", ""model.model.4.0.shortcut.2.num_batches_tracked"", ""model.model.4.1.conv1.weight"", ""model.model.4.1.bn1.weight"", ""model.model.4.1.bn1.bias"", ""model.model.4.1.bn1.running_mean"", ""model.model.4.1.bn1.running_var"", ""model.model.4.1.bn1.num_batches_tracked"", ""model.model.4.1.conv2.weight"", ""model.model.4.1.bn2.weight"", ""model.model.4.1.bn2.bias"", ""model.model.4.1.bn2.running_mean"", ""model.model.4.1.bn2.running_var"", ""model.model.4.1.bn2.num_batches_tracked"", ""model.model.4.1.conv3.weight"", ""model.model.4.1.bn3.weight"", ""model.model.4.1.bn3.bias"", ""model.model.4.1.bn3.running_mean"", ""model.model.4.1.bn3.running_var"", ""model.model.4.1.bn3.num_batches_tracked"", ""model.model.4.2.conv1.weight"", ""model.model.4.2.bn1.weight"", ""model.model.4.2.bn1.bias"", ""model.model.4.2.bn1.running_mean"", ""model.model.4.2.bn1.running_var"", ""model.model.4.2.bn1.num_batches_tracked"", ""model.model.4.2.conv2.weight"", ""model.model.4.2.bn2.weight"", ""model.model.4.2.bn2.bias"", ""model.model.4.2.bn2.running_mean"", ""model.model.4.2.bn2.running_var"", ""model.model.4.2.bn2.num_batches_tracked"", ""model.model.4.2.conv3.weight"", ""model.model.4.2.bn3.weight"", ""model.model.4.2.bn3.bias"", ""model.model.4.2.bn3.running_mean"", ""model.model.4.2.bn3.running_var"", ""model.model.4.2.bn3.num_batches_tracked"", ""model.model.4.3.conv1.weight"", ""model.model.4.3.bn1.weight"", ""model.model.4.3.bn1.bias"", ""model.model.4.3.bn1.running_mean"", ""model.model.4.3.bn1.running_var"", ""model.model.4.3.bn1.num_batches_tracked"", ""model.model.4.3.conv2.weight"", ""model.model.4.3.bn2.weight"", ""model.model.4.3.bn2.bias"", ""model.model.4.3.bn2.running_mean"", ""model.model.4.3.bn2.running_var"", ""model.model.4.3.bn2.num_batches_tracked"", ""model.model.4.3.conv3.weight"", ""model.model.4.3.bn3.weight"", ""model.model.4.3.bn3.bias"", ""model.model.4.3.bn3.running_mean"", ""model.model.4.3.bn3.running_var"", ""model.model.4.3.bn3.num_batches_tracked"", ""model.model.5.0.conv1.weight"", ""model.model.5.0.bn1.weight"", ""model.model.5.0.bn1.bias"", ""model.model.5.0.bn1.running_mean"", ""model.model.5.0.bn1.running_var"", ""model.model.5.0.bn1.num_batches_tracked"", ""model.model.5.0.conv2.weight"", ""model.model.5.0.bn2.weight"", ""model.model.5.0.bn2.bias"", ""model.model.5.0.bn2.running_mean"", ""model.model.5.0.bn2.running_var"", ""model.model.5.0.bn2.num_batches_tracked"", ""model.model.5.0.conv3.0.w"", ""model.model.5.0.conv3.1.weight"", ""model.model.5.0.bn3.weight"", ""model.model.5.0.bn3.bias"", ""model.model.5.0.bn3.running_mean"", ""model.model.5.0.bn3.running_var"", ""model.model.5.0.bn3.num_batches_tracked"", ""model.model.5.0.shortcut.0.w"", ""model.model.5.0.shortcut.1.weight"", ""model.model.5.0.shortcut.2.weight"", ""model.model.5.0.shortcut.2.bias"", ""model.model.5.0.shortcut.2.running_mean"", ""model.model.5.0.shortcut.2.running_var"", ""model.model.5.0.shortcut.2.num_batches_tracked"", ""model.model.5.1.conv1.weight"", ""model.model.5.1.bn1.weight"", ""model.model.5.1.bn1.bias"", ""model.model.5.1.bn1.running_mean"", ""model.model.5.1.bn1.running_var"", ""model.model.5.1.bn1.num_batches_tracked"", ""model.model.5.1.conv2.weight"", ""model.model.5.1.bn2.weight"", ""model.model.5.1.bn2.bias"", ""model.model.5.1.bn2.running_mean"", ""model.model.5.1.bn2.running_var"", ""model.model.5.1.bn2.num_batches_tracked"", ""model.model.5.1.conv3.weight"", ""model.model.5.1.bn3.weight"", ""model.model.5.1.bn3.bias"", ""model.model.5.1.bn3.running_mean"", ""model.model.5.1.bn3.running_var"", ""model.model.5.1.bn3.num_batches_tracked"", ""model.model.5.2.conv1.weight"", ""model.model.5.2.bn1.weight"", ""model.model.5.2.bn1.bias"", ""model.model.5.2.bn1.running_mean"", ""model.model.5.2.bn1.running_var"", ""model.model.5.2.bn1.num_batches_tracked"", ""model.model.5.2.conv2.weight"", ""model.model.5.2.bn2.weight"", ""model.model.5.2.bn2.bias"", ""model.model.5.2.bn2.running_mean"", ""model.model.5.2.bn2.running_var"", ""model.model.5.2.bn2.num_batches_tracked"", ""model.model.5.2.conv3.weight"", ""model.model.5.2.bn3.weight"", ""model.model.5.2.bn3.bias"", ""model.model.5.2.bn3.running_mean"", ""model.model.5.2.bn3.running_var"", ""model.model.5.2.bn3.num_batches_tracked"", ""model.model.5.3.conv1.weight"", ""model.model.5.3.bn1.weight"", ""model.model.5.3.bn1.bias"", ""model.model.5.3.bn1.running_mean"", ""model.model.5.3.bn1.running_var"", ""model.model.5.3.bn1.num_batches_tracked"", ""model.model.5.3.conv2.weight"", ""model.model.5.3.bn2.weight"", ""model.model.5.3.bn2.bias"", ""model.model.5.3.bn2.running_mean"", ""model.model.5.3.bn2.running_var"", ""model.model.5.3.bn2.num_batches_tracked"", ""model.model.5.3.conv3.weight"", ""model.model.5.3.bn3.weight"", ""model.model.5.3.bn3.bias"", ""model.model.5.3.bn3.running_mean"", ""model.model.5.3.bn3.running_var"", ""model.model.5.3.bn3.num_batches_tracked"", ""model.model.5.4.conv1.weight"", ""model.model.5.4.bn1.weight"", ""model.model.5.4.bn1.bias"", ""model.model.5.4.bn1.running_mean"", ""model.model.5.4.bn1.running_var"", ""model.model.5.4.bn1.num_batches_tracked"", ""model.model.5.4.conv2.weight"", ""model.model.5.4.bn2.weight"", ""model.model.5.4.bn2.bias"", ""model.model.5.4.bn2.running_mean"", ""model.model.5.4.bn2.running_var"", ""model.model.5.4.bn2.num_batches_tracked"", ""model.model.5.4.conv3.weight"", ""model.model.5.4.bn3.weight"", ""model.model.5.4.bn3.bias"", ""model.model.5.4.bn3.running_mean"", ""model.model.5.4.bn3.running_var"", ""model.model.5.4.bn3.num_batches_tracked"", ""model.model.5.5.conv1.weight"", ""model.model.5.5.bn1.weight"", ""model.model.5.5.bn1.bias"", ""model.model.5.5.bn1.running_mean"", ""model.model.5.5.bn1.running_var"", ""model.model.5.5.bn1.num_batches_tracked"", ""model.model.5.5.conv2.weight"", ""model.model.5.5.bn2.weight"", ""model.model.5.5.bn2.bias"", ""model.model.5.5.bn2.running_mean"", ""model.model.5.5.bn2.running_var"", ""model.model.5.5.bn2.num_batches_tracked"", ""model.model.5.5.conv3.weight"", ""model.model.5.5.bn3.weight"", ""model.model.5.5.bn3.bias"", ""model.model.5.5.bn3.running_mean"", ""model.model.5.5.bn3.running_var"", ""model.model.5.5.bn3.num_batches_tracked"", ""model.model.6.0.conv1.weight"", ""model.model.6.0.bn1.weight"", ""model.model.6.0.bn1.bias"", ""model.model.6.0.bn1.running_mean"", ""model.model.6.0.bn1.running_var"", ""model.model.6.0.bn1.num_batches_tracked"", ""model.model.6.0.conv2.weight"", ""model.model.6.0.bn2.weight"", ""model.model.6.0.bn2.bias"", ""model.model.6.0.bn2.running_mean"", ""model.model.6.0.bn2.running_var"", ""model.model.6.0.bn2.num_batches_tracked"", ""model.model.6.0.conv3.0.w"", ""model.model.6.0.conv3.1.weight"", ""model.model.6.0.bn3.weight"", ""model.model.6.0.bn3.bias"", ""model.model.6.0.bn3.running_mean"", ""model.model.6.0.bn3.running_var"", ""model.model.6.0.bn3.num_batches_tracked"", ""model.model.6.0.shortcut.0.w"", ""model.model.6.0.shortcut.1.weight"", ""model.model.6.0.shortcut.2.weight"", ""model.model.6.0.shortcut.2.bias"", ""model.model.6.0.shortcut.2.running_mean"", ""model.model.6.0.shortcut.2.running_var"", ""model.model.6.0.shortcut.2.num_batches_tracked"", ""model.model.6.1.conv1.weight"", ""model.model.6.1.bn1.weight"", ""model.model.6.1.bn1.bias"", ""model.model.6.1.bn1.running_mean"", ""model.model.6.1.bn1.running_var"", ""model.model.6.1.bn1.num_batches_tracked"", ""model.model.6.1.conv2.weight"", ""model.model.6.1.bn2.weight"", ""model.model.6.1.bn2.bias"", ""model.model.6.1.bn2.running_mean"", ""model.model.6.1.bn2.running_var"", ""model.model.6.1.bn2.num_batches_tracked"", ""model.model.6.1.conv3.weight"", ""model.model.6.1.bn3.weight"", ""model.model.6.1.bn3.bias"", ""model.model.6.1.bn3.running_mean"", ""model.model.6.1.bn3.running_var"", ""model.model.6.1.bn3.num_batches_tracked"", ""model.model.6.2.conv1.weight"", ""model.model.6.2.bn1.weight"", ""model.model.6.2.bn1.bias"", ""model.model.6.2.bn1.running_mean"", ""model.model.6.2.bn1.running_var"", ""model.model.6.2.bn1.num_batches_tracked"", ""model.model.6.2.conv2.weight"", ""model.model.6.2.bn2.weight"", ""model.model.6.2.bn2.bias"", ""model.model.6.2.bn2.running_mean"", ""model.model.6.2.bn2.running_var"", ""model.model.6.2.bn2.num_batches_tracked"", ""model.model.6.2.conv3.weight"", ""model.model.6.2.bn3.weight"", ""model.model.6.2.bn3.bias"", ""model.model.6.2.bn3.running_mean"", ""model.model.6.2.bn3.running_var"", ""model.model.6.2.bn3.num_batches_tracked"", ""model.fc.weight"", ""model.fc.bias"". \nbackbone/as_saved/strict=False: missing=[\'model.0.weight\', \'model.1.weight\', \'model.1.bias\', \'model.1.running_mean\', \'model.1.running_var\', \'model.3.0.conv1.weight\', \'model.3.0.bn1.weight\', \'model.3.0.bn1.bias\'], unexpected=[\'normalize.mean\', \'normalize.std\', \'model.model.0.weight\', \'model.model.1.weight\', \'model.model.1.bias\', \'model.model.1.running_mean\', \'model.model.1.running_var\', \'model.model.1.num_batches_tracked\']')"
